repo,stars,size_kb,age_days,open_issues,language,ci_pass_pct,ci_total,pr_merge_hours,pr_merged_count,releases_per_week,release_count_90d,has_actions
ghostty-org/ghostty,47349,66549,1449,191,Zig,100,20,0.4,16,0,0,1
akullpp/awesome-java,47331,2572,4269,18,unknown,30,20,1136.4,16,0,0,1
1c7/chinese-independent-developer,47101,4103,3099,2,unknown,100,20,10.7,19,0,0,1
jakevdp/PythonDataScienceHandbook,47069,43642,3506,230,Jupyter Notebook,,0,,0,0,0,0
Homebrew/brew,47068,109878,3664,18,Ruby,75,20,3.4,19,0.86,11,1
brillout/awesome-react-components,47060,1367,3553,34,unknown,40,20,9418.3,15,0,0,1
typescript-cheatsheets/react,47006,3146,2846,1,JavaScript,45,20,12.5,6,0,0,1
slab/quill,46963,18429,4978,629,TypeScript,50,20,0.4,5,0,0,1
v2ray/v2ray-core,46957,55144,3847,8,Go,80,20,,0,0,0,1
serverless/serverless,46945,103240,3984,1220,JavaScript,75,20,2.4,19,0.62,8,1
xuxueli/xxl-job,29984,38699,3762,223,Java,75,20,68.3,3,0.08,1,1
AllThingsSmitty/css-protips,29935,7327,3853,6,unknown,,0,0,9,0,0,0
GoogleChrome/lighthouse,29933,352506,3662,512,JavaScript,45,20,11.6,16,0.16,2,1
encode/django-rest-framework,29928,63108,5494,78,Python,85,20,45.6,17,0,0,1
ageron/handson-ml2,29928,154116,2626,228,Jupyter Notebook,0,15,28.9,3,0,0,1
google-research/tuning_playbook,29919,1837,1154,14,unknown,0,1,2343.4,11,0,0,1
square/leakcanary,29912,147800,3975,154,Kotlin,80,20,11.6,17,0,0,1
nvim-lua/kickstart.nvim,29874,872,1363,26,Lua,40,20,81.8,3,0,0,1
musistudio/claude-code-router,29864,13894,386,836,TypeScript,88,8,,0,0,0,1
iced-rs/iced,29863,21704,2437,409,Rust,10,20,16,14,0,0,1
filamentphp/filament,29834,488078,2190,34,PHP,35,20,19.2,16,1.56,20,1
hashicorp/consul,29800,489291,4516,1384,Go,35,20,25,13,0.23,3,1
apolloconfig/apollo,29771,57207,3665,147,Java,100,20,0.2,13,0.16,2,1
openssl/openssl,29768,331066,4809,1611,C,85,20,,0,0.47,6,1
foundation/foundation-sites,29766,126117,5269,77,HTML,25,4,6788.5,12,0,0,1
ChromeDevTools/chrome-devtools-mcp,29757,4736,187,90,TypeScript,55,20,29.4,16,1.09,14,1
nginx/nginx,29719,75267,3920,345,C,100,20,43.8,20,0.31,4,1
JushBJJ/Mr.-Ranedeer-AI-Tutor,29673,342,1082,16,unknown,,0,,0,0,0,0
sampotts/plyr,29667,66324,4049,927,JavaScript,,0,4669.8,9,0.08,1,0
alibaba/canal,29633,24243,4811,1238,Java,95,20,659,13,0,0,1
vuejs/vue-cli,29628,31134,3734,1071,JavaScript,,0,206.3,4,0,0,0
qdrant/qdrant,29623,46909,2117,506,Rust,55,20,2.3,13,0.16,2,1
hehonghui/awesome-english-ebooks,29612,14127679,1359,0,CSS,,0,,0,0,0,0
helm/helm,29605,27172,3816,431,Go,60,20,29.5,13,0.7,9,1
aosabook/500lines,29591,60251,4517,58,JavaScript,,0,47.8,6,0,0,0
realpython/python-guide,29541,6901,5482,130,Batchfile,,0,3487.2,10,0,0,0
react-boilerplate/react-boilerplate,29530,8943,4045,129,JavaScript,,0,,0,0,0,0
dandavison/delta,29528,11208,2458,366,Rust,65,20,92.8,15,0,0,1
tailscale/tailscale,29520,74241,2237,4157,Go,95,20,16.9,17,0.23,3,1
flameshot-org/flameshot,29510,26970,3233,655,C++,95,20,40.8,7,0,0,1
elsewhencode/project-guidelines,29503,507,3182,16,JavaScript,,0,521.6,16,0,0,0
HKUDS/LightRAG,29491,86462,531,198,Python,70,20,5.6,13,0.39,5,1
bigint/hey,29486,65898,1459,6,TypeScript,85,20,43.4,12,0,0,1
CopilotKit/CopilotKit,29476,673691,1003,585,TypeScript,40,20,0.7,10,0.7,9,1
feder-cr/Jobs_Applier_AI_Agent_AIHawk,29463,194,590,28,Python,0,20,199.9,3,0,0,1
Pierian-Data/Complete-Python-3-Bootcamp,29459,52492,2955,270,Jupyter Notebook,,0,0,2,0,0,0
shadps4-emu/shadPS4,29436,54198,1240,139,C++,70,20,2.4,17,0.31,4,1
standard/standard,29434,3752,4068,129,JavaScript,81,16,22,9,0,0,1
IanLunn/Hover,29408,994,4457,42,SCSS,,0,1378.2,7,0,0,0
honojs/hono,29405,8766,1554,344,TypeScript,45,20,128.2,11,1.4,18,1
abhisheknaiidu/awesome-github-profile-readme,29386,12647,2074,635,unknown,20,20,298.9,2,0,0,1
MichaelCade/90DaysOfDevOps,29386,374887,1542,16,Shell,100,20,444.2,16,0,0,1
farion1231/cc-switch,29367,34818,225,419,Rust,65,20,41.7,14,1.17,15,1
composer/composer,29349,28922,5396,140,PHP,95,20,117.4,15,0.31,4,1
statelyai/xstate,29333,272685,3837,152,TypeScript,60,20,76.8,6,1.56,20,1
binwiederhier/ntfy,29262,41262,1606,333,Go,85,20,16.5,12,0.47,6,1
karpathy/llm.c,29178,2151,708,218,Cuda,30,20,86.3,14,0,0,1
kodecocodes/swift-algorithm-club,29138,14083,3703,62,Swift,,0,1238.5,6,0,0,0
lukehoban/es6features,29136,199,4397,38,unknown,,0,38.8,5,0,0,0
microsoft/playwright-mcp,29122,1838,361,24,TypeScript,55,20,34.9,12,1.09,14,1
frida/frida,19999,21026,4722,1931,Meson,20,20,28.1,14,0.78,10,1
fchollet/deep-learning-with-python-notebooks,19990,7128,3115,207,Jupyter Notebook,,0,244.7,7,0,0,0
verl-project/verl,19982,19510,503,1867,Python,5,20,65.8,13,0.16,2,1
Atlas-OS/Atlas,19979,372272,1864,7,Batchfile,100,20,20.8,14,0,0,1
segment-boneyard/nightmare,19965,2538,4364,203,JavaScript,,0,,0,0,0,0
ruanyf/jstraining,19965,4096,3428,0,unknown,0,1,11.9,15,0,0,1
GoogleCloudPlatform/microservices-demo,19959,36632,2783,53,Go,60,20,565.5,16,0.08,1,1
tipsy/profile-summary-for-github,19943,3283,3019,22,Vue,100,1,6.5,14,0,0,1
basecamp/trix,19933,7337,4611,172,JavaScript,85,20,87.4,15,0.16,2,1
MaaAssistantArknights/MaaAssistantArknights,19930,969662,1712,608,C++,90,20,0.4,15,1.56,20,1
pure-admin/vue-pure-admin,19926,389396,1948,4,Vue,100,20,339.9,16,0,0,1
apache/casbin,19925,6606,3265,69,Go,70,20,2.8,12,1.17,15,1
openai/gpt-oss,19917,11004,267,91,Python,45,20,19.2,10,0.08,1,1
gitbutlerapp/gitbutler,19907,171095,1141,673,Rust,85,20,6.1,18,0.93,12,1
dyad-sh/dyad,19905,30755,341,270,TypeScript,50,20,0.9,13,1.56,20,1
navidrome/navidrome,19905,51699,3674,198,Go,75,20,13.5,14,0.23,3,1
vercel/chatbot,19902,16042,1033,76,TypeScript,80,20,0,14,0,0,1
google/filament,19897,1074093,2783,198,C++,95,20,45.5,18,0.78,10,1
KaTeX/KaTeX,19892,93928,4638,438,TypeScript,90,20,16.4,16,0.86,11,1
inancgumus/learngo,19890,3295,2710,40,Go,,0,336.4,5,0,0,0
microsoft/fluentui,19877,826191,3571,667,TypeScript,75,20,17.6,14,1.56,20,1
ReactiveCocoa/ReactiveCocoa,19873,17070,5128,11,Swift,0,2,845.9,14,0,0,1
enzymejs/enzyme,19872,7893,3780,281,JavaScript,95,20,19.7,8,0,0,1
programthink/books,19863,1117,3943,109,unknown,,0,,0,0,0,0
yanue/V2rayU,19862,202610,2713,141,unknown,95,20,14.5,11,0,0,1
w-okada/voice-changer,19857,188288,1304,413,Python,100,20,77.6,9,0,0,1
Awesome-HarmonyOS/HarmonyOS,19851,23807,2412,49,C,,0,26.4,5,0,0,0
grpc-ecosystem/grpc-gateway,19846,12848,4001,157,Go,90,20,0.2,19,0.54,7,1
xi-editor/xi-editor,19845,9704,3612,154,Rust,,0,21.8,18,0,0,0
afatcoder/LeetcodeTop,19842,587,2086,43,unknown,,0,0,7,0,0,0
garrytan/gstack,19837,23363,6,75,TypeScript,0,20,0.1,14,0,0,1
rakyll/hey,19827,1086,3483,185,Go,63,19,171.2,5,0.08,1,1
JetBrains/intellij-community,19820,5648561,5282,164,Java,30,20,,0,0.86,11,1
google/fonts,19814,2907808,4052,1351,HTML,55,20,6.1,20,0,0,1
go-playground/validator,19799,2217,4051,316,Go,100,20,26.5,16,0.16,2,1
jasontaylordev/CleanArchitecture,19796,9844,2353,7,Bicep,95,20,0.2,19,0.86,11,1
nginx-proxy/nginx-proxy,19778,1918,4334,337,Python,90,20,110,19,0.16,2,1
dhg/Skeleton,19761,6398,5435,138,CSS,,0,,0,0,0,0
apollographql/apollo-client,19724,100474,3672,419,TypeScript,85,20,28.1,18,1.24,16,1
marimo-team/marimo,19724,205923,946,572,Python,85,20,4.6,13,1.24,16,1
dailydotdev/daily,19715,21528,3049,12,unknown,100,20,2,18,0,0,1
SnapDrop/snapdrop,19701,3571,3742,290,JavaScript,,0,722.2,3,0,0,0
huggingface/candle,19697,18203,1002,628,Rust,20,20,15.3,14,0,0,1
infinitered/ignite,19696,61834,3688,32,TypeScript,100,20,94.8,13,0.08,1,1
nuysoft/Mock,19656,5409,4708,342,JavaScript,,0,43.2,7,0,0,0
trojan-gfw/trojan,19655,927,3069,94,C++,,0,563.6,9,0,0,0
Universidade-Livre/ciencia-da-computacao,19654,554,1724,3,unknown,,0,73.6,11,0,0,0
cube-js/cube,19645,432371,2739,896,Rust,80,20,1.9,19,1.56,20,1
lin-xin/vue-manage-system,19637,3844,3395,151,Vue,,0,2089.5,3,0,0,0
nikitabobko/AeroSpace,19636,12906,1031,191,Swift,80,20,113.1,3,0.16,2,1
andkret/Cookbook,14996,38467,2564,125,Python,10,20,25.9,15,0,0,1
paperjs/paper.js,14995,111156,5517,430,JavaScript,,0,168.8,13,0,0,0
chentsulin/awesome-graphql,14991,978,3901,0,unknown,10,20,5.6,17,0,0,1
wazuh/wazuh,14985,492214,3871,2836,C++,85,20,85.2,18,0.23,3,1
Bash-it/bash-it,14984,43147,5645,6,Shell,75,20,18.2,15,0,0,1
CesiumGS/cesium,14983,837365,5128,1588,JavaScript,80,20,110.9,15,0.31,4,1
cachethq/cachet,14981,37025,4139,29,PHP,75,20,0.4,17,0,0,1
faker-js/faker,14981,32260,1530,124,TypeScript,90,20,449.4,19,0.16,2,1
SwifterSwift/SwifterSwift,14976,16352,3515,29,Swift,30,20,441.9,17,0,0,1
iggredible/Learn-Vim,14975,1796,2073,17,Dockerfile,,0,8713,14,0,0,0
supertokens/supertokens-core,14971,333460,2263,158,Java,80,20,71.5,18,1.24,16,1
MathFoundationRL/Book-Mathematical-Foundation-of-Reinforcement-Learning,14962,49974,1319,0,MATLAB,,0,0,1,0,0,0
AsyncFuncAI/deepwiki-open,14957,3981,322,238,Python,55,20,59.4,11,0,0,1
janpaepke/ScrollMagic,14954,6665,4558,1,TypeScript,78,18,6.2,4,0.39,5,1
bloomberg/memray,14944,34499,1439,47,Python,100,20,97.2,18,0.08,1,1
alibaba/hooks,14938,13086,2456,268,TypeScript,100,20,713.1,16,0,0,1
bower/bower,14935,4801,4940,13,JavaScript,100,1,977.4,10,0,0,1
Koenkk/zigbee2mqtt,14933,114890,2900,620,TypeScript,85,20,1.4,19,0.31,4,1
hoanhan101/ultimate-go,14931,1203,2881,0,Go,,0,37.6,18,0,0,0
aniftyco/awesome-tailwindcss,14925,409,3051,0,unknown,30,20,8.9,2,0,0,1
HKUDS/DeepCode,14923,80573,308,35,Python,85,20,1174.1,14,0.23,3,1
ampproject/amphtml,14920,966973,3850,1008,JavaScript,95,20,17.2,19,0.54,7,1
PuerkitoBio/goquery,14919,549,4949,3,Go,90,20,44.8,16,0.08,1,1
xcanwin/KeepChatGPT,14917,14477,1085,122,JavaScript,100,1,6.1,13,0,0,1
caprover/caprover,14911,41121,3066,175,TypeScript,95,20,16.1,15,0,0,1
riot/riot,14907,25788,4555,4,JavaScript,100,20,167,13,0,0,1
adobe/react-spectrum,14906,235345,2377,592,TypeScript,100,20,320.9,12,0.31,4,1
airbnb/react-sketchapp,14902,4428,3252,35,TypeScript,100,1,6.4,20,0,0,1
electric-sql/pglite,14888,12119,757,146,TypeScript,60,20,11.3,14,0.86,11,1
Y2Z/monolith,14883,4364,3312,75,Rust,95,20,0.3,19,0,0,1
sindresorhus/got,14875,3768,4373,1,TypeScript,95,20,16.3,16,0.08,1,1
pjialin/py12306,14874,2460,2626,194,Python,89,9,8965.7,9,0,0,1
zaproxy/zaproxy,14872,201653,3940,850,Java,100,20,3.9,14,1.01,13,1
graykode/nlp-tutorial,14871,361,2624,39,Jupyter Notebook,,0,34.1,12,0,0,0
muesli/duf,14869,428,2004,76,Go,55,20,0.4,1,0,0,1
mamoe/mirai,14866,96914,2414,297,Kotlin,0,3,294.9,13,0,0,1
barryvdh/laravel-ide-helper,14866,1789,4756,185,PHP,100,20,2.7,15,0.08,1,1
BrainJS/brain.js,14866,23430,3685,91,TypeScript,,0,24.7,9,0,0,0
llmware-ai/llmware,14864,1215442,900,86,Python,20,5,0,20,0.16,2,1
beetbox/beets,14855,32526,5699,725,Python,80,20,70.6,17,0.39,5,1
showdownjs/showdown,14838,6716,6333,236,JavaScript,85,20,49,13,0,0,1
gvergnaud/ts-pattern,14837,3418,2123,62,TypeScript,25,20,164.2,15,0,0,1
neovide/neovide,14827,87035,2293,261,Rust,100,20,0.6,18,0.08,1,1
neonbjb/tortoise-tts,14826,55498,1510,346,Jupyter Notebook,,0,87.6,10,0,0,0
federico-busato/Modern-CPP-Programming,14824,692583,2931,2,HTML,95,20,26.9,5,0.08,1,1
s0md3v/XSStrike,14822,1193,3187,87,Python,,0,4920.4,9,0,0,0
direnv/direnv,14820,3173,5551,422,Go,70,20,401.6,9,0,0,1
CocoaPods/CocoaPods,14813,97969,5330,841,Ruby,100,20,0.5,10,0,0,1
acidanthera/OpenCorePkg,14812,244675,2540,6,C,100,20,118.9,11,0,0,1
elastic/logstash,14808,133533,5599,2225,Java,100,20,7,16,0.93,12,1
RightNow-AI/openfang,14836,5659,21,47,Rust,56,16,43.1,2,1.56,20,1
glfw/glfw,14805,17080,4717,738,C,90,20,251.5,4,0,0,1
HumanAIGC/AnimateAnyone,14797,3053,841,82,unknown,,0,,0,0,0,0
cryptomator/cryptomator,14793,34801,4427,287,Java,100,20,91.3,19,0.47,6,1
hapijs/hapi,14784,17109,5338,58,JavaScript,100,18,124,17,0,0,1
borisdayma/dalle-mini,14784,18762,1719,100,Python,,0,36.8,15,0,0,0
theonedev/onedev,14781,233243,2689,0,Java,,0,5.8,5,1.56,20,0
loft-sh/devpod,14772,72420,1149,111,Go,100,20,3.8,13,0,0,1
thomaspark/bootswatch,14765,93791,5153,68,JavaScript,95,20,29.6,13,0,0,1
tensorflow/tfjs-models,14764,174410,2905,238,TypeScript,37,19,47.9,12,0,0,1
fauxpilot/fauxpilot,14762,3044,1323,63,Python,,0,138.8,12,0,0,0
google-deepmind/deepmind-research,14761,94276,2619,329,Jupyter Notebook,82,17,,0,0,0,1
dolphin-emu/dolphin,14759,547254,4622,417,C++,,0,30.2,16,0,0,0
gotify/server,14754,4270,2983,84,Go,30,20,150.4,15,0.23,3,1
graphql/graphql-spec,14754,6005,3913,204,JavaScript,67,18,345.8,10,0,0,1
Azure/azure-quickstart-templates,14750,857754,3983,1132,Bicep,33,12,82.3,12,0,0,1
